"","Groups","Tweet","Time","Retweet","Faves","ReplyToStatusID","TweetID","sentiment","method"
"92",92,"@magrahn @scholasarmenti Cheers Magdalena! <U+0001F377>Here's to many more great guests, and wine, in the future!",2015-10-20 09:37:24,0,1,"656276335921405952","656403835410370560",5,"AFINN"
"93",93,"@papabighouse We're excited for you Matthew! Can't wait to hear all about it. Enjoy!",2015-10-20 09:23:53,0,1,"656375901429637120","656400436207882240",5,"AFINN"
"94",94,"@jov_stankovic Great to host you Jovana! Make yourself at home : )",2015-10-20 09:22:26,0,0,"656399445223972864","656400070603120641",3,"AFINN"
"95",95,"@bojowbebeh Happy anniversary Barbra! Thanks for being part of this amazing community! Here's to 4 more years and many more great stays.",2015-10-20 09:04:07,0,1,"656280422683316224","656395461046181888",12,"AFINN"
"96",96,"@kakp We don't think so! Here's to many more stars in the future Kristine <U+2B50><U+FE0F> thanks for making your guests feel so welcome!",2015-10-20 09:01:07,0,1,"656299787076005888","656394705312313347",4,"AFINN"
"97",97,"@annedoli Great to hear it Anne! Whereabouts were you exploring?",2015-10-20 08:59:17,0,0,"656340457190850560","656394243188092929",3,"AFINN"
"98",98,"@deanofthesouth Hi Dom. Yes! Find out all about the contest in the house rules section of the entry page. Good luck if you've entered!",2015-10-20 08:56:34,0,0,"656253415450918912","656393561466871809",7,"AFINN"
"99",99,"@sforman This is music to our ears Seth! That's what this community is all about. Wishing you many more great experiences. Enjoy breakfast!",2015-10-20 08:43:51,0,0,"656262591250079744","656390359593930752",6,"AFINN"
"100",100,"@devincates No problem Devin! Looks pretty heavenly to us - enjoy that all important hammock time!",2015-10-20 08:38:27,0,1,"656315103080394752","656388999058190336",6,"AFINN"
"101",101,"@stefh_ Distracting isn't it??",2015-10-20 08:36:28,0,0,"656337700555898880","656388501508870144",NA,NA
